AnswerID,ConsumerID,GroupID,ProfileID,_id
2000161,0,123,0,1
2000162,0,123,0,2
2000164,0,123,0,3
2000165,0,123,0,4
2000167,0,123,0,5
2000168,0,123,0,6
2000170,0,123,0,7
2000171,0,123,0,8
2000172,0,123,0,9
2000173,0,123,0,10
2000174,0,123,0,11
2000175,0,123,0,12
2000176,0,123,0,13
2000177,0,123,0,14
2000178,0,123,0,15
2000179,0,123,0,16
2000180,0,123,0,17
2000181,0,123,0,18
2000182,0,123,0,19
2000116,0,0,11169,20
2000117,0,0,11170,21
2000118,0,0,11171,22
2000119,0,0,11172,23
2000120,0,0,11173,24
2000121,0,0,11174,25
2000122,0,0,11177,26
2000123,0,0,11178,27
2000124,0,0,11179,28
2000125,0,0,11180,29
2000126,0,0,11181,30
2000127,0,0,11182,31
2000128,0,0,11183,32
2000129,0,0,11185,33
2000130,0,0,11186,34
2000131,0,0,11187,35
2000132,0,0,11188,36
2000133,0,0,11189,37
2000134,0,0,11190,38
2000135,0,0,11193,39
2000136,0,0,11194,40
2000137,0,0,11195,41
2000138,0,0,11196,42
2000139,0,0,11197,43
2000140,0,0,11198,44
2000141,0,0,11199,45
2000142,0,0,11201,46
2000143,0,0,11202,47
2000144,0,0,11203,48
2000145,0,0,11204,49
2000147,0,0,11206,50
2000149,0,0,11129,51
2000151,0,0,11131,52
2000153,0,0,11133,53
2000155,0,0,11135,54
2000157,0,0,11138,55
2000159,0,0,11140,56
2000161,0,0,11142,57
2000163,0,0,11145,58
2000165,0,0,11147,59
2000167,0,0,11150,60
2000169,0,0,11153,61
2000171,0,0,11155,62
2000121,0,123,0,63
2000123,0,123,0,64
2000125,0,123,0,65
2000127,0,123,0,66
2000129,0,123,0,67
2000131,0,123,0,68
2000133,0,123,0,69
2000135,0,123,0,70
2000137,0,123,0,71
2000527,0,118,0,72
2000552,0,118,0,73
0,0,1000078,1006174,74
2000528,0,118,0,75
2000553,0,118,0,76
2000529,0,118,0,77
2000554,0,118,0,78
2000496,0,0,8453,79
2000498,0,0,8460,80
2000500,0,0,8464,81
2000502,0,0,8466,82
2000504,0,0,8469,83
2000506,0,0,8471,84
2000508,0,0,8475,85
2000510,0,0,8479,86
2000512,0,0,8481,87
2000514,0,0,8487,88
2000516,0,0,8489,89
2000518,0,0,8492,90
2000520,0,0,8496,91
2000522,0,0,8500,92
2000524,0,0,8505,93
2000526,0,0,8507,94
2000528,0,0,8510,95
2000530,0,0,8512,96
2000532,0,0,8516,97
2000534,0,0,8521,98
2000536,0,0,8525,99
2000538,0,0,8528,100
