Active,ChannelNo,ProfileId,RecorderID,Type,Unit of measurement,_id,aux
True,5,11149,TG08,1,2,1,0
True,6,11150,TG08,1,2,2,0
True,7,11151,TG08,1,2,3,0
True,0,11152,TG09,1,1,4,0
True,1,11153,TG09,1,2,5,0
True,2,11154,TG09,1,2,6,0
True,3,11155,TG09,1,2,7,0
True,4,11156,TG09,1,2,8,0
True,5,11157,TG09,1,2,9,0
True,6,11158,TG09,1,2,10,0
True,7,11159,TG09,1,2,11,0
True,0,11160,TG10,1,1,12,0
True,1,11161,TG10,1,2,13,0
True,2,11162,TG10,1,2,14,0
True,3,11163,TG10,1,2,15,0
True,4,11164,TG10,1,2,16,0
True,5,11165,TG10,1,2,17,0
True,6,11166,TG10,1,2,18,0
True,7,11167,TG10,1,2,19,0
True,0,11055,WH1,1,1,20,0
True,1,11056,WH1,1,2,21,0
True,2,11057,WH1,1,2,22,0
True,3,11058,WH1,1,2,23,0
True,4,11059,WH1,1,2,24,0
True,5,11060,WH1,1,2,25,0
True,6,11061,WH1,1,2,26,0
True,0,11062,WH10,1,1,27,0
True,1,11063,WH10,1,2,28,0
True,2,11064,WH10,1,2,29,0
True,3,11065,WH10,1,2,30,0
True,4,11066,WH10,1,2,31,0
True,5,11067,WH10,1,2,32,0
True,6,11068,WH10,1,2,33,0
True,7,11069,WH10,1,2,34,0
True,0,11070,WH12,1,1,35,0
True,1,11071,WH12,1,2,36,0
True,2,11072,WH12,1,2,37,0
True,3,11073,WH12,1,2,38,0
True,4,11074,WH12,1,2,39,0
True,5,11075,WH12,1,2,40,0
True,0,11076,WH13,1,1,41,0
True,1,11077,WH13,1,2,42,0
True,2,11078,WH13,1,2,43,0
True,3,11079,WH13,1,2,44,0
True,4,11080,WH13,1,2,45,0
True,5,11081,WH13,1,2,46,0
True,6,11082,WH13,1,2,47,0
True,0,11083,WH14,1,1,48,0
True,1,11084,WH14,1,2,49,0
True,2,11085,WH14,1,2,50,0
True,3,11086,WH14,1,2,51,0
True,4,11087,WH14,1,2,52,0
True,5,11088,WH14,1,2,53,0
True,0,11089,WH2,1,1,54,0
True,1,11090,WH2,1,2,55,0
True,2,11091,WH2,1,2,56,0
True,3,11092,WH2,1,2,57,0
True,4,11093,WH2,1,2,58,0
True,5,11094,WH2,1,2,59,0
True,0,11095,WH4,1,1,60,0
True,1,11096,WH4,1,2,61,0
True,2,11097,WH4,1,2,62,0
True,3,11098,WH4,1,2,63,0
True,4,11099,WH4,1,2,64,0
True,5,11100,WH4,1,2,65,0
True,0,11101,WH6,1,1,66,0
True,1,11102,WH6,1,2,67,0
True,2,11103,WH6,1,2,68,0
True,3,11104,WH6,1,2,69,0
True,4,11105,WH6,1,2,70,0
True,5,11106,WH6,1,2,71,0
True,6,11107,WH6,1,2,72,0
True,7,11108,WH6,1,2,73,0
True,0,11109,WH7,1,1,74,0
True,1,11110,WH7,1,2,75,0
True,2,11111,WH7,1,2,76,0
True,3,11112,WH7,1,2,77,0
True,4,11113,WH7,1,2,78,0
True,0,11114,WH8,1,1,79,0
True,1,11115,WH8,1,2,80,0
True,2,11116,WH8,1,2,81,0
True,3,11117,WH8,1,2,82,0
True,4,11118,WH8,1,2,83,0
True,5,11119,WH8,1,2,84,0
True,0,11120,WH9,1,1,85,0
True,1,11121,WH9,1,2,86,0
True,2,11122,WH9,1,2,87,0
True,0,11123,WH3,1,1,88,0
True,1,11124,WH3,1,2,89,0
True,2,11125,WH3,1,2,90,0
True,3,11126,WH3,1,2,91,0
True,4,11127,WH3,1,2,92,0
True,1,11129,TG06,1,2,93,0
True,1,11169,TG01,1,2,94,0
True,3,11053,G3J1,1,2,95,0
True,4,11054,GST5B2,1,2,96,0
True,3,11211,G3A1,1,2,97,0
True,0,11212,MT01,1,1,98,0
True,1,11213,MT01,1,2,99,0
True,2,11214,MT01,1,2,100,0
